Plot_id,Forest_type,Tenure,C_Tree_total,Scale_factor,C_ha,Shannon_index,Simpson_index,Mean_temperature,Mean_precipitation,precipitation_of_wettest_month,pecipiation_of_dryiest_month,Pieolou_evenness
79,Dry_Mixed_Deciduous_Forest,Protected_Area,3.034265628,0.04,75.8566407,2.058461062,0.857142857,22.26263186,931.5455651,182.2291062,1.2308,0.936846002726533
80,Dry_Mixed_Deciduous_Forest,Protected_Area,2.00149619,0.04,50.03740475,2.340902679,0.872969596,22.42221797,918.4047981,179.8399802,1.1168,0.864423664728755
81,Dry_Mixed_Deciduous_Forest,Protected_Area,2.278197261,0.04,56.95493153,1.625550283,0.734375,22.59201912,903.6280678,177.0823446,1.02096352,0.781724444133232
82,Dry_Mixed_Deciduous_Forest,Protected_Area,1.375999141,0.04,34.39997853,1.968693209,0.822222222,22.7937112,888.6718333,173.9161166,1,0.854992597014101
83,Dry_Mixed_Deciduous_Forest,Protected_Area,1.78474603,0.04,44.61865075,1.290433654,0.579861111,23.20846801,860.3869837,167.5466918,1,0.663151715486637
84,Dry_Mixed_Deciduous_Forest,Protected_Area,3.234769101,0.04,80.86922753,1.816717543,0.755198488,22.83762093,884.370752,172.906912,1,0.731100921962635
85,Dry_Mixed_Deciduous_Forest,Protected_Area,2.109340424,0.04,52.7335106,1.947696715,0.790204082,22.55134842,906.8444365,177.4951629,1,0.812252618720893
86,Dry_Mixed_Deciduous_Forest,Protected_Area,2.755668962,0.04,68.89172405,2.050515032,0.854591837,22.13797808,940.8428864,184.1158144,1.0542592,0.933229608509297
87,Dry_Mixed_Deciduous_Forest,Protected_Area,6.183560294,0.04,154.5890074,1.900225615,0.83,22.02261527,948.380288,185.486128,1,0.913815357055174
88,Dry_Mixed_Deciduous_Forest,Protected_Area,3.687377474,0.04,92.18443685,2.035951657,0.815948736,22.30983992,923.5366563,180.4094339,1,0.77146927953664
89,Dry_Mixed_Deciduous_Forest,Protected_Area,2.048080702,0.04,51.20201755,1.955983847,0.820987654,22.43239563,911.4469971,177.9571187,1,0.890206611904768
90,Dry_Mixed_Deciduous_Forest,Protected_Area,2.201431302,0.04,55.03578255,2.177615725,0.87534626,22.67369243,890.4830643,173.6876819,1,0.945726493165255
91,Dry_Mixed_Deciduous_Forest,Protected_Area,4.436171646,0.04,110.9042912,1.93614701,0.8096,23.23394821,847.8674437,164.5814661,1,0.840857962523063
92,Dry_Mixed_Deciduous_Forest,Protected_Area,4.025534282,0.04,100.6383571,2.168155236,0.87037037,23.42423184,837.7466931,162.1224947,1,0.941617854911377
93,Dry_Mixed_Deciduous_Forest,Protected_Area,6.71141781,0.04,167.7854453,1.494175138,0.75,23.73995774,819.2424176,157.8147024,1,0.928383211769586
94,Dry_Mixed_Deciduous_Forest,Protected_Area,3.395063164,0.04,84.8765791,2.105561242,0.842249657,23.75287104,819.797155,158.207413,1,0.878087240090022
95,Dry_Mixed_Deciduous_Forest,Protected_Area,3.814504872,0.04,95.3626218,1.991346413,0.853333333,23.88785354,812.2210218,156.7343702,1,0.957635198440019
96,Dry_Mixed_Deciduous_Forest,Protected_Area,3.393225101,0.04,84.83062753,1.933809999,0.835555556,23.88363913,813.8026688,157.3218912,1,0.929966031821429
97,Dry_Mixed_Deciduous_Forest,Protected_Area,2.485521502,0.04,62.13803755,1.772139388,0.765306122,23.84882323,817.4458102,158.2975978,1,0.852218902487608
98,Dry_Mixed_Deciduous_Forest,Protected_Area,4.43970837,0.04,110.9927093,1.748970751,0.8,23.86299507,816.642236,158.020764,1,0.898793169674556
99,Dry_Mixed_Deciduous_Forest,Protected_Area,3.86617182,0.04,96.6542955,1.732867951,0.8125,24.00842542,808.4713344,156.4688,1,0.967132018086354
100,Dry_Mixed_Deciduous_Forest,Protected_Area,5.827014423,0.04,145.6753606,1.33217904,0.72,23.88527807,817.546511,158.4578221,1,0.960964047443681
101,Moist_Mixed_Deciduous_Forest,Reserve,17.87615469,0.25,71.50461874,1.566501973,0.717687075,24.89552517,1247.082,228.0841923,2,0.805022767282845
102,Moist_Mixed_Deciduous_Forest,Reserve,38.39799946,0.25,153.5919978,1.991509361,0.852071006,24.85372967,1243.248,227.124224,2,0.957713559837711
103,Moist_Mixed_Deciduous_Forest,Reserve,29.02852632,0.25,116.1141053,2.319574997,0.885,24.93636712,1259.234854,230.6768,2,0.93346564824537
104,Moist_Mixed_Deciduous_Forest,Reserve,28.08541585,0.25,112.3416634,2.220025328,0.8828125,24.92594687,1257.492423,230.2088,2,0.964144749563997
105,Moist_Mixed_Deciduous_Forest,Reserve,13.24472452,0.25,52.97889806,1.770507889,0.7776,24.98837859,1274.472043,235.0208072,2,0.851434317157875
106,Moist_Mixed_Deciduous_Forest,Reserve,27.65356193,0.25,110.6142477,2.059858233,0.847107438,24.98380692,1273.218944,234.6775573,2,0.894585063927744
107,Moist_Mixed_Deciduous_Forest,Reserve,15.46751701,0.25,61.87006805,1.544009143,0.710775047,25.01913322,1292.528502,238.970617,2,0.793463739302812
108,Moist_Mixed_Deciduous_Forest,Reserve,29.61637961,0.25,118.4655184,2.094729048,0.861111111,25.01378861,1291.724099,238.7953498,2,0.953352274107169
109,Moist_Mixed_Deciduous_Forest,Reserve,24.18825136,0.25,96.75300544,2.187322319,0.875,25.00443716,1295.534241,239.3754138,2,0.949942013220056
110,Moist_Mixed_Deciduous_Forest,Reserve,22.73640463,0.25,90.94561852,2.216102248,0.882716049,25.02401679,1298.334108,240.1023027,2,0.962440977679427
111,Moist_Mixed_Deciduous_Forest,Reserve,9.66008352,0.25,38.64033408,1.695742534,0.8,25.13890072,1030.37824,165.5612232,1,0.946411928215015
112,Moist_Mixed_Deciduous_Forest,Reserve,9.649798839,0.25,38.59919536,2.135240258,0.845679012,24.88094722,996.6109996,157.2818914,1,0.89046435086169
113,Moist_Mixed_Deciduous_Forest,Reserve,24.33985223,0.25,97.35940892,2.430791329,0.906666667,24.85889633,989.8569373,155.99644,1,0.978222392815285
114,Moist_Mixed_Deciduous_Forest,Reserve,20.83925382,0.25,83.35701528,2.13833306,0.875,24.86966575,983.1230951,155.4636367,1,0.973197315178593
115,Moist_Mixed_Deciduous_Forest,Reserve,17.43284992,0.25,69.73139968,2.529976462,0.892857143,24.74647758,964.1989857,152.4418,1,0.912496123759341
116,Moist_Mixed_Deciduous_Forest,Unclassifed_Forest,6.406337805,0.25,25.62535122,0.636514168,0.444444444,25.74585427,1294.78909,240.4412,2,0.918295834054489
117,Moist_Mixed_Deciduous_Forest,Unclassifed_Forest,5.5438238,0.25,22.1752952,1.098612289,0.666666667,25.74784026,1295.649261,240.85184,2,1
119,Moist_Mixed_Deciduous_Forest,Unclassifed_Forest,8.397355336,0.25,33.58942134,1.791759469,0.833333333,25.74643927,1294.87555,240.27128,2,1
